"endpoint","n_ROI","n_patients","n_LN_patients","n_GBM_patients","HTZ_F","HTZ_df_num","HTZ_df_denom","CR2_HTZ_P","CR2_chisq_P","original_clustered_P","CR2_HTZ_FDR_across_4","CR2_HTZ_nominal_lt_005","CR2_HTZ_FDR_lt_005","interpretation"
"MAC M2",217,23,18,5,3.0265841075223,3,1.90959425299265,0.266327791469143,0.000332398282780842,7.462782e-05,0.556329220038029,FALSE,FALSE,"Attenuated under CR2-HTZ small-sample inference"
"FIB M1",219,23,18,5,1.25606007046252,3,1.94476566940733,0.475302692585827,0.0539865651756018,1.267494e-06,0.556329220038029,FALSE,FALSE,"Attenuated under CR2-HTZ small-sample inference"
"FIB M3",219,23,18,5,0.935417194877114,3,1.94476566940733,0.556329220038029,0.12758405752445,3.961392e-08,0.556329220038029,FALSE,FALSE,"Attenuated under CR2-HTZ small-sample inference"
"MAC-FIB",221,23,18,5,1.2894399146367,3,1.9346072680497,0.468820209628486,0.0488332474388945,0.01794172,0.556329220038029,FALSE,FALSE,"Attenuated under CR2-HTZ small-sample inference"
