celltype,shared_PC1_FDR,Disease_x_PC1_FDR,shared_significant_FDR005,interaction_significant_FDR005
MAC,9.178172354762874e-23,0.19476966181967006,True,False
Mono,4.302102992374689e-09,0.4051316296499242,True,False
B,1.4351835098876225e-21,0.258142986489069,True,False
T,3.7451738455324947e-28,0.39758950679266347,True,False
FIB,1.7130349898809e-10,0.258142986489069,True,False
EC,3.2004822078999633e-57,0.39758950679266347,True,False
PEC,0.11955565688503682,0.046141419229047055,False,True
POD,9.178172354762874e-23,0.258142986489069,True,False
