celltype,shared_PC1_FDR,Disease_x_PC1_FDR,shared_significant_FDR005,interaction_significant_FDR005,CLR_shared_PC1_FDR,CLR_interaction_FDR,CLR_shared_sig,CLR_interaction_sig,shared_significance_concordant,interaction_significance_concordant
MAC,9.178172354762874e-23,0.19476966181967,True,False,7.039268166945378e-05,0.21640320573823216,True,False,True,True
Mono,4.302102992374689e-09,0.4051316296499242,True,False,0.0005556306720859372,0.21640320573823216,True,False,True,True
B,1.4351835098876225e-21,0.258142986489069,True,False,1.869050395502519e-28,0.21640320573823216,True,False,True,True
T,3.7451738455324947e-28,0.3975895067926634,True,False,8.8886100573652e-40,0.4752660779251532,True,False,True,True
FIB,1.7130349898809002e-10,0.258142986489069,True,False,0.6736952435653241,0.4752660779251532,False,False,False,True
EC,3.200482207899964e-57,0.3975895067926634,True,False,1.1306248745519536e-91,0.4752660779251532,True,False,True,True
PEC,0.1195556568850368,0.046141419229047,False,True,0.002021923157138255,0.2800454477382322,True,False,False,False
POD,9.178172354762874e-23,0.258142986489069,True,False,5.106418534333832e-43,0.21640320573823216,True,False,True,True
