relationship,pvalue_reproduced,FDR_reproduced,pvalue_saved,FDR_saved,p_abs_diff,FDR_abs_diff,p_match,FDR_match
MAC_to_FibroticMC,3.840412666572482e-11,1.5361650666289928e-10,3.840408504902172e-11,1.5361634019608688e-10,4.161670310117776e-17,1.6646681240471103e-16,True,True
MAC_to_FIB,0.0179417197626553,0.0358834395253106,0.0179417181421181,0.0358834362842363,1.6205371974886695e-09,3.2410742978328244e-09,True,True
Mono_to_FibroticMC,0.0648941922148038,0.0865255896197384,0.0648941949926856,0.0865255933235809,2.7778817995871563e-09,3.7038424965940564e-09,True,True
Mono_to_FIB,0.3614715565307364,0.3614715565307364,0.3614715953760709,0.3614715953760709,3.884533444908911e-08,3.884533444908911e-08,True,True
