celltype,module,library,term,module_size,pathway_size_in_panel,overlap_n,overlap_genes,fold_enrichment,pvalue,FDR_within_library,FDR_module_all_libraries
FIB,1,GO_Biological_Process_2026,"Wound Healing, Spreading of Cells (GO:0044319)",23,6,4,CD44;CEACAM1;ITGB1;LRG1,13.855072463768115,5.793340915899672e-05,0.0052719402334687,0.0085741445555315
FIB,3,Reactome_Pathways_2024,Terminal Pathway of Complement,29,3,3,C5;C7;CLU,16.482758620689655,0.0002020070679254,0.009292325124571,0.0395933853133895
MAC,2,Reactome_Pathways_2024,Innate Immune System,16,84,9,C1QC;C5AR1;CD19;CD247;PECAM1;PLAUR;PNP;S100A9;SELL,3.194196428571429,0.000433339939857,0.0052000792782848,0.0208003171131392
MAC,2,Reactome_Pathways_2024,Neutrophil Degranulation,16,39,6,C5AR1;PECAM1;PLAUR;PNP;S100A9;SELL,4.586538461538462,0.0008861135331186,0.0053166811987116,0.0212667247948464
MAC,2,Reactome_Pathways_2024,Complement Cascade,16,10,3,C1QC;C5AR1;CD19,8.94375,0.0032319685587361,0.0096959056762085,0.0387836227048341
MAC,2,Reactome_Pathways_2024,Regulation of Complement Cascade,16,10,3,C1QC;C5AR1;CD19,8.94375,0.0032319685587361,0.0096959056762085,0.0387836227048341
