module,model,interaction_p,curve_correlation_vs_unadjusted,saved_interaction_p,p_match
MAC M2,Unadjusted,7.462781999866367e-05,1.0,7.462781999866367e-05,True
MAC M2,All + Slide,2.3248712648966398e-05,0.9892968416458161,2.32487126489664e-05,True
MAC M2,Overlap slides + Slide,8.696722795222074e-14,0.9833198446463761,8.696722795222075e-14,True
FIB M1,Unadjusted,1.2674936983002932e-06,1.0,1.2674936983002932e-06,True
FIB M1,All + Slide,3.1384311164250635e-08,0.9987374103764409,3.1384311164250635e-08,True
FIB M1,Overlap slides + Slide,5.96158007393082e-11,0.9833750037071979,5.96158007393082e-11,True
FIB M3,Unadjusted,3.961392430237122e-08,1.0,3.961392430237122e-08,True
FIB M3,All + Slide,2.2294734317868357e-08,0.9994047044209862,2.229473431786836e-08,True
FIB M3,Overlap slides + Slide,9.21398427839765e-06,0.9976370349939838,9.21398427839765e-06,True
