PC1_trim,spline_df,PC1_low,PC1_high,saved_pvalue,reproduced_pvalue,p_abs_diff,p_match,saved_n_ROI,reproduced_n_ROI,n_ROI_match,matrix_rank,n_columns,full_rank
0.0,3,-4.009798,13.348089,0.0171231992473972,0.01712319924739725,5.204170427930421e-17,True,220,220,True,8,8,True
0.0,4,-4.009798,13.348089,0.0058801019363549,0.005880101936354998,9.80118763926896e-17,True,220,220,True,10,10,True
0.0,5,-4.009798,13.348089,0.008438010646654,0.00843801064665403,2.949029909160572e-17,True,220,220,True,12,12,True
0.025,3,-3.3798742175,10.036790799999986,0.0283703274284122,0.02837032742841224,4.163336342344337e-17,True,183,183,True,8,8,True
0.025,4,-3.3798742175,10.036790799999986,0.0001096593239778,0.00010965932397780749,7.48099499014998e-18,True,183,183,True,10,10,True
0.025,5,-3.3798742175,10.036790799999986,6.095047871295894e-11,6.095047871295894e-11,0.0,True,183,183,True,12,12,True
0.05,3,-1.584691035,8.490261499999999,0.0002567102869784,0.00025671028697845034,5.036119091195168e-17,True,140,140,True,8,8,True
0.05,4,-1.584691035,8.490261499999999,0.0069766651033723,0.006976665103372339,3.903127820947816e-17,True,140,140,True,10,10,True
0.05,5,-1.584691035,8.490261499999999,8.664271984596791e-05,8.664271984596791e-05,0.0,True,140,140,True,12,12,True
